DATE,vwretd,ewretd
19280329,0.002111,0.004308
19280330,0.014955,0.012398
19280331,-0.005599,-0.002943
19280402,-0.008753,-0.002089
19280403,0.006229,0.005937
19280404,-0.000705,0.002463
19280405,0.011316,0.009813
19280409,0.003301,0.008884
19280410,-0.007219,-0.005227
19280411,0.014175,0.016815
19280412,-0.002553,0.000803
19280413,0.014131,0.013058
19280414,-0.004321,-0.001142
19280416,0.005194,0.003661
19280417,-0.006457,-0.003949
19280418,0.000282,0.001208
19280419,0.005792,0.010373
19280420,-0.013263,-0.013357
19280423,-0.007093,-0.005457
19280424,0.003693,0.001621
19280425,0.007670,0.012885
19280426,0.006678,0.009230
19280427,0.010414,0.013122
19280428,0.004732,0.004992
19280430,0.000612,0.001276
19280501,0.002736,0.004145
19280502,0.000862,0.003437
19280503,0.003946,0.002787
19280504,0.011722,0.007123
19280507,0.007422,0.008969
19280508,-0.005598,-0.003861
19280509,0.000536,0.001797
19280510,-0.001614,0.001869
19280511,0.007845,0.010539
19280514,0.004929,0.014068
19280515,-0.000466,0.002356
19280516,-0.015153,-0.015049
19280517,0.004831,0.000679
19280518,-0.007061,-0.003115
19280521,-0.011446,-0.004574
19280522,-0.013771,-0.014559
19280523,0.017354,0.013995
19280524,0.005483,0.010187
19280525,0.002015,0.004413
19280528,-0.014659,-0.014196
19280529,0.008862,0.005035
19280531,0.009393,0.012531
19280601,0.003560,0.001625
19280602,0.006349,0.007643
19280604,-0.018371,-0.015900
19280605,0.002359,0.002646
19280606,-0.008392,-0.004926
19280607,-0.004847,-0.011162
19280608,-0.013824,-0.016789
19280609,-0.012971,-0.013772
19280611,-0.022928,-0.029403
19280612,-0.023077,-0.039936
19280613,0.031275,0.032818
19280614,0.009677,0.021546
19280615,-0.012490,-0.009660
19280616,-0.000032,-0.004066
19280618,-0.020095,-0.018283
19280619,-0.005895,-0.015338
19280620,0.013968,0.013434
19280621,0.001610,0.006395
19280622,-0.000237,0.003072
19280623,-0.006315,-0.005082
19280625,0.001093,-0.001854
19280626,0.010066,0.009293
19280627,0.010141,0.011553
19280628,0.008241,0.007535
19280629,0.004996,0.004910
19280630,0.001387,0.002825
19280702,-0.011703,-0.012838
19280703,0.016328,0.014538
19280705,0.009524,0.011436
19280706,-0.003032,-0.002031
19280707,0.002714,0.004842
19280709,0.000262,0.000010
19280710,-0.002800,-0.004544
19280711,-0.023194,-0.023732
19280712,-0.006277,-0.008305
19280713,0.007097,0.007795
19280714,-0.000027,0.002521
19280716,-0.012227,-0.011991
19280717,0.004656,0.001995
