caldt,vwretd,ewretd
19280514,0.002871654,0.002892485
19280515,-0.002249415,-0.003053483
19280516,-0.01582925,-0.01218509
19280517,0.002902917,-0.0005599256000000001
19280518,-0.006996238,-0.002893727
19280521,-0.01373726,-0.01178031
19280522,-0.01354117,-0.01489394
19280523,0.01885775,0.015388
19280524,0.00539884,0.007411656000000001
19280525,0.001508536,0.001256545
19280528,-0.01552897,-0.01416545
19280529,0.01088817,0.007922371000000001
19280531,0.009437702000000001,0.0109459
19280601,0.005070653,0.003481309
19280602,0.006475946000000001,0.005382922
19280604,-0.01999659,-0.01926899
19280605,0.002301252,0.003015331
19280606,-0.009101935,-0.005948346
19280607,-0.002319586,-0.005823803000000001
19280608,-0.0126128,-0.01333388
19280609,-0.01213737,-0.0134175
19280611,-0.02161249,-0.02451926
19280612,-0.01646141,-0.01979801
19280613,0.0288214,0.03233821
19280614,0.007639759,0.009207602
19280615,-0.01363335,-0.01343374
19280616,0.001071218,-0.0002952383
19280618,-0.01898622,-0.01895954
19280619,-0.003563087,-0.00531316
19280620,0.01413394,0.0141375
19280621,-0.0009702184,3.051723e-05
19280622,-0.001343454,-0.0004949151
19280623,-0.006376468000000001,-0.005723769
19280625,0.002563328,0.001123596
19280626,0.01055156,0.008127403
19280627,0.01025169,0.008615688
19280628,0.009642666000000001,0.007260595000000001
19280629,0.00515571,0.006470859000000001
19280630,0.002291853,0.0006339953
19280702,-0.01161112,-0.009966448000000001
19280703,0.01578723,0.0155207
19280705,0.009326844,0.009325906
19280706,-0.004242625,-0.004977169
19280707,0.002870713,0.002355547
19280709,7.213332999999999e-05,0.0003977775
19280710,-0.001507536,-0.004464997
19280711,-0.02320621,-0.0228761
19280712,-0.007085272,-0.004626949
19280713,0.008142486,0.00782287
19280714,-0.001415228,0.00103633
19280716,-0.01323801,-0.01188769
19280717,0.005118874000000001,0.002369734
19280718,0.01106731,0.01064679
19280719,-0.002102787,-0.002350805
19280720,0.002112533,0.003030665
19280721,-0.002787691,-0.0008271541
19280723,0.006736985,0.006101307
19280724,-0.0004036197,0.0007813594
19280725,0.00556094,0.002661219
19280726,0.00132676,0.0009191826
19280727,0.00933197,0.006217551
19280728,0.002732174,0.002688826
19280730,-9.158362e-05,0.001122333
19280731,-0.00161458,-0.0008492006
19280801,-0.0004377347,0.0006630116
19280802,-0.004719973000000001,-0.003913687
19280803,0.0003000132,0.001516009
19280804,0.002697925,0.003569908
19280806,0.007442880000000001,0.002767028
19280807,-0.002881315,-2.034844e-05
19280808,-0.0112282,-0.008014282000000001
